Id,NonPlayerCharacterId,ReactionType,Content,Trigger,Probability,IsActive,DisplayOrder,CreatedAt,UpdatedAt,CheckRequirementId
1,1,防衛,"守塔人突然拿起鐵棍攻擊靠近祭壇的角色。","當玩家試圖觸碰祭壇或破壞符文時",0.7,True,1,2025-12-27,2025-12-27,2
2,1,告知,"守塔含糊講述燈塔過去的事件，透露儀式的碎片資訊。","玩家用友善或說服方式詢問燈塔歷史時",0.5,True,2,2025-12-27,2025-12-27,
3,3,攻擊,"信徒以儀式咒語呼喚幻影協助攻擊玩家。","玩家破壞祭壇或大聲干擾儀式時",0.9,True,1,2025-12-27,2025-12-27,2
4,3,撤退,"信徒在遭遇失敗時撤退並嘗試呼叫更多同伴。","當戰況不利且玩家數量較多時",0.4,True,2,2025-12-27,2025-12-27,2
5,1,誤導,"守塔人故意指引玩家到錯誤的房間以掩護某處。","玩家詢問指引或追問細節時",0.3,True,3,2025-12-27,2025-12-27,
6,3,招降,"部分信徒在示弱或被說服時會停止攻擊並嘗試說服玩家離開。","玩家用說服或恐嚇策略時",0.45,True,4,2025-12-27,2025-12-27,3
7,1,警告,"守塔人警告屋頂風險並要求玩家保持距離或協助固定欄杆。","玩家上到屋頂或嘗試觀測遠方時",0.6,True,5,2025-12-27,2025-12-27,
8,2,傾訴,"漁村倖存者（若存在）會向玩家傾訴失去親人的經過，並提及奇怪聲響與符號。","玩家以友善或同情方式交談時",0.5,True,6,2025-12-27,2025-12-27,1
9,3,詭異守護,"沉船艙內出現類似守護靈的攻擊性現象，阻擋玩家搜查。","玩家試圖帶走護符或深度搜尋暗艙時",0.8,True,7,2025-12-27,2025-12-27,2
10,3,引誘,"潮間帶的貝殼堆發出低語，試圖引誘玩家深入潮濕洞口。","玩家在潮間帶搜尋符文或貝殼時",0.6,True,8,2025-12-27,2025-12-27,3
